"TIME","FRAME-WIDTH","FRAME-HEIGHT","P1-X","P1-Y","P1-WIDTH","P1-HEIGHT","P1-SPEAKS","P2-X","P2-Y","P2-WIDTH","P2-HEIGHT","P2-SPEAKS"
"1","640","240"
"2","640","240"
"3","640","240"
"4","640","240","152.5","156.0","91","104","False","473.0","156.0","94","108","False"
"5","640","240","152.0","153.5","92","105","False","473.5","154.0","91","104","False"
"6","640","240","154.0","154.0","94","108","False","474.5","153.0","93","106","False"
"7","640","240","153.0","152.5","92","105","False","474.5","153.0","93","106","False"
"8","640","240","153.5","153.0","93","106","False","474.0","152.5","92","105","False"
"9","640","240","152.0","152.5","92","105","False","473.0","152.5","92","105","False"
"10","640","240","152.0","149.5","92","105","True","473.0","149.0","94","108","True"
"11","640","240","151.0","147.0","94","108","True","471.0","147.0","94","108","True"
"12","640","240","151.0","147.0","94","108","False","472.5","146.5","95","109","False"
"13","640","240","152.0","145.5","92","105","False","471.5","145.0","93","106","False"
"14","640","240","152.0","145.5","92","105","False","472.5","145.0","93","106","False"
"15","640","240","152.5","146.0","93","106","False","471.5","146.0","93","106","False"
"16","640","240","152.0","147.0","94","108","False","471.5","146.0","93","106","False"
"17","640","240","155.0","147.0","94","108","False","477.0","146.0","96","110","False"
"18","640","240","158.0","145.5","92","105","False","478.5","148.5","97","111","False"
"19","640","240","158.0","145.5","92","105","False","478.5","147.5","95","109","False"
"20","640","240","158.0","147.0","94","108","False","478.0","148.0","94","108","False"
"21","640","240","156.5","147.0","93","106","False","477.0","148.0","94","108","False"
"22","640","240","155.0","147.0","94","108","False","476.0","148.0","94","108","False"
"23","640","240","154.5","148.0","93","106","False","475.5","147.0","93","106","False"
"24","640","240","157.5","148.0","93","106","False","475.5","147.0","93","106","False"
"25","640","240","158.5","147.0","93","106","False","478.5","148.5","95","109","False"
"26","640","240","158.5","148.0","93","106","False","479.0","148.0","96","110","False"
"27","640","240","157.5","147.0","93","106","False","479.0","148.0","94","108","False"
"28","640","240","157.0","148.0","94","108","False","478.0","148.0","94","108","False"
"29","640","240","154.5","148.0","93","106","False","474.5","147.0","93","106","False"
"30","640","240","152.5","147.0","93","106","False","473.5","148.0","93","106","False"
"31","640","240","152.0","147.5","90","103","False","473.0","147.5","90","103","False"
"32","640","240","152.0","147.5","92","105","False","473.0","147.5","92","105","False"
"33","640","240","151.5","147.0","93","106","False","473.0","146.5","92","105","False"
"34","640","240","152.0","146.5","90","103","False","472.5","147.0","91","104","False"
"35","640","240","151.5","147.0","91","104","False","472.5","147.0","91","104","False"
"36","640","240","154.0","146.5","92","105","False","473.5","147.0","91","104","False"
"37","640","240","153.0","146.5","92","105","False","473.0","147.5","92","105","False"
"38","640","240","154.0","146.5","92","105","False","473.5","146.0","91","104","False"
"39","640","240","151.5","148.5","95","109","False","473.0","149.0","94","108","False"
"40","640","240","151.5","149.5","95","109","False","472.5","147.0","93","106","False"
"41","640","240","152.0","148.0","94","108","False","472.0","146.5","92","105","False"
"42","640","240","151.5","147.5","95","109","False","473.5","147.0","93","106","False"
"43","640","240","152.5","147.0","93","106","False","473.0","148.0","94","108","False"
"44","640","240","153.0","148.0","94","108","False","472.5","148.0","93","106","False"
"45","640","240","152.5","147.5","95","109","False","473.0","148.0","94","108","False"
"46","640","240","153.5","147.0","93","106","False","472.5","147.0","93","106","False"
"47","640","240","153.0","147.5","92","105","False","472.5","148.0","93","106","False"
"48","640","240","151.5","146.0","91","104","True","473.5","148.0","93","106","True"
"49","640","240","154.5","146.5","95","109","True","473.5","147.0","93","106","True"
"50","640","240","154.0","146.0","94","108","True","474.5","148.0","91","104","True"
"51","640","240","154.0","146.0","94","108","False","475.0","146.5","92","105","False"
"52","640","240","153.0","145.5","92","105","False","474.5","146.0","91","104","False"
"53","640","240","153.0","145.5","92","105","False","475.0","146.5","92","105","False"
"54","640","240","153.0","146.0","94","108","False","474.5","147.0","91","104","False"
"55","640","240","153.0","145.5","92","105","True","475.5","146.0","93","106","True"
"56","640","240","154.0","145.5","92","105","False","474.0","146.5","92","105","False"
"57","640","240","153.5","145.0","93","106","False","473.5","146.0","93","106","False"
"58","640","240","154.0","145.5","92","105","False","474.0","145.5","92","105","False"
"59","640","240","154.0","146.0","94","108","False","473.5","147.0","93","106","False"
"60","640","240","154.0","148.0","94","108","False","473.5","147.0","93","106","False"
"61","640","240","153.0","146.0","94","108","True","474.5","147.0","93","106","True"
"62","640","240","154.0","146.0","94","108","False","473.5","147.0","91","104","False"
"63","640","240","153.0","146.5","92","105","False","473.5","147.0","91","104","False"
"64","640","240","152.5","147.5","95","109","False","473.5","148.0","93","106","False"
"65","640","240","154.0","147.0","96","110","False","474.5","148.0","93","106","False"
"66","640","240","154.5","147.5","95","109","False","473.5","148.0","93","106","False"
"67","640","240","154.5","147.5","95","109","True","474.0","149.0","94","108","True"
"68","640","240","154.0","149.0","94","108","True","474.0","148.0","94","108","True"
"69","640","240","154.5","148.5","95","109","True","474.0","149.0","94","108","True"
"70","640","240","155.0","146.0","94","108","True","474.5","146.0","93","106","True"
"71","640","240","153.5","146.0","93","106","True","474.0","147.5","92","105","True"
"72","640","240","153.5","146.0","93","106","True","474.0","147.5","92","105","True"
"73","640","240","154.0","145.5","92","105","False","475.0","146.5","92","105","False"
"74","640","240","154.0","147.0","94","108","True","474.5","147.0","93","106","True"
"75","640","240","154.0","146.5","92","105","True","473.5","147.0","91","104","True"
"76","640","240","154.0","145.5","90","103","False","474.5","146.0","91","104","False"
"77","640","240","154.0","146.5","92","105","False","474.0","146.5","92","105","False"
"78","640","240","154.5","146.0","93","106","False","474.0","146.5","92","105","False"
"79","640","240","154.0","146.5","92","105","False","475.0","146.5","92","105","False"
"80","640","240","154.0","145.5","92","105","False","474.0","146.5","92","105","False"
"81","640","240","153.5","147.5","95","109","False","474.5","146.0","93","106","False"
"82","640","240","154.5","147.0","91","104","False","476.0","145.5","92","105","False"
"83","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"84","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"85","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"86","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"87","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"88","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"89","640","240","155.0","148.5","92","105","False","476.5","147.0","93","106","False"
"90","640","240","153.5","148.0","93","106","True","474.0","148.5","92","105","True"
"91","640","240","153.5","148.0","93","106","False","474.0","148.5","92","105","False"
"92","640","240","154.0","148.5","92","105","False","474.5","149.0","93","106","False"
"93","640","240","153.5","148.0","93","106","False","474.5","148.0","93","106","False"
"94","640","240","153.5","147.0","93","106","False","474.0","147.5","92","105","False"
"95","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"96","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"97","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"98","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"99","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"100","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"101","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"102","640","240","154.5","149.0","93","106","False","474.5","148.0","93","106","False"
"103","640","240"
"104","640","240"
"105","640","240"
"106","640","240"
"107","640","240"
"108","640","240"
"109","640","240"
"110","640","240"
"111","640","240"
"112","640","240"
"113","640","240"
"114","640","240"
"115","640","240"
"116","640","240","154.5","148.0","93","106","False","474.5","148.0","93","106","False"
"117","640","240","154.0","147.5","92","105","False","475.5","148.0","93","106","False"
"118","640","240","154.5","148.0","93","106","False","475.5","147.0","93","106","False"
"119","640","240","154.0","148.5","92","105","False","476.0","148.0","94","108","False"
"120","640","240","154.5","148.0","91","104","False","475.5","148.0","93","106","False"
"121","640","240","155.5","148.0","93","106","False","477.0","148.0","94","108","False"
"122","640","240","157.5","148.0","93","106","False","477.5","148.0","93","106","False"
